,ra,dec
0,3.021864866507708,-3.823690825031604
1,3.076471964041541,-3.798098639745294
2,3.001547624683333,-3.993402692158684
3,3.008130459565386,-3.983090862793901
4,3.017089248207711,-3.962933006958704
5,3.018103284300518,-3.959375286864586
6,3.010104173452931,-3.947685179718817
7,3.001846710289791,-3.945213974461375
8,3.011060944958588,-3.938485214078227
9,3.006340712114033,-3.91129274236424
10,3.036322832104357,-3.989213061690564
11,3.050868744299238,-3.997495846955128
12,3.047839400354161,-3.991547100181569
13,3.057661825124054,-3.990401964087353
14,3.057801775442257,-3.98852718436176
15,3.062773277724646,-3.990297199176283
16,3.065926055459656,-3.99160644296342
17,3.022260282898931,-3.963793672289524
18,3.046593040313751,-3.9859343548161
19,3.057281110948103,-3.984732568130339
20,3.057960464101976,-3.974971407217136
21,3.059451580467627,-3.976039504326184
22,3.086563540351431,-3.999728636464259
23,3.09639707003747,-3.994023400971276
24,3.103629401448246,-3.994938028303499
25,3.087145866943602,-3.979192525501404
26,3.093380184519577,-3.98321782349361
27,3.108897020539981,-3.975420310938599
28,3.109332591960139,-3.974845629616897
29,3.026755310627406,-3.952666146325898
30,3.03790326505948,-3.960689137397827
31,3.036175678497565,-3.94684086891885
32,3.066784142454953,-3.952754116376727
33,3.056514151392506,-3.941414562169498
34,3.071993803828213,-3.945840732986888
35,3.072885199824582,-3.946716398537022
36,3.068081578211491,-3.936028403002468
37,3.041761543533126,-3.918177668138124
38,3.044818859975551,-3.911581546550122
39,3.065779354309585,-3.929709814324798
40,3.073276375842146,-3.928995590816341
41,3.057722714619802,-3.910873895305857
42,3.128292179691598,-3.954629447977773
43,3.111278766767199,-3.943375804048772
44,3.126764645969786,-3.941759081388197
45,3.078694239505274,-3.925512735185901
46,3.083938974805528,-3.920158840498761
47,3.106136360743595,-3.915752581533595
48,3.126390462591306,-3.908444003217362
49,3.000785026949526,-3.874217514246189
50,3.009371627519323,-3.81201219185951
51,3.043611247261118,-3.883203911457493
52,3.048263403473665,-3.898382144915601
53,3.023275414273505,-3.863729323241518
54,3.043746481674249,-3.876955964154456
55,3.065915327069058,-3.874856636570091
56,3.08792415962624,-3.897812387540304
57,3.089921823644541,-3.899291911027607
58,3.126374336390369,-3.884934325666892
59,3.091425169110132,-3.869538827048821
60,3.097623806915871,-3.865062981198224
61,3.086406130928212,-3.862513230383363
62,3.085884713345392,-3.861028232241588
63,3.095234056668953,-3.855826310197609
64,3.118528791389603,-3.875757768029291
65,3.021991840853801,-3.828223606992978
