,ra,dec
0,3.125228850435206,-3.921402715161566
1,3.021864866507708,-3.823690825031604
2,3.076471964041541,-3.798098639745294
3,3.001547624683333,-3.993402692158684
4,3.012262389314373,-3.995672848465352
5,3.001233088704711,-3.979233231654557
6,3.008130459565386,-3.983090862793901
7,3.012325147922989,-3.96999419451744
8,3.014885703261641,-3.966387813678953
9,3.014020073770075,-3.962226140269501
10,3.017089248207711,-3.962933006958704
11,3.018103284300518,-3.959375286864586
12,3.0136023913506,-3.956012504947714
13,3.011455036975562,-3.952741537719367
14,3.010104173452931,-3.947685179718817
15,3.015313499427008,-3.948441483355384
16,3.002968266419228,-3.945640301382291
17,3.001846710289791,-3.945213974461375
18,3.011060944958588,-3.938485214078227
19,3.000033991871153,-3.924543604445336
20,3.001805242068316,-3.924688159083651
21,3.005414702126036,-3.929551541028549
22,3.014888859834718,-3.923311048392349
23,3.000288216031325,-3.911716990117935
24,3.006340712114033,-3.91129274236424
25,3.038219458970376,-3.994548653434896
26,3.036322832104357,-3.989213061690564
27,3.044858157488437,-3.991254926814023
28,3.047046535722929,-3.999861370185194
29,3.049620619463763,-3.995792502713789
30,3.050868744299238,-3.997495846955128
31,3.047839400354161,-3.991547100181569
32,3.057661825124054,-3.990401964087353
33,3.057801775442257,-3.98852718436176
34,3.064486548841411,-3.993183796263493
35,3.062773277724646,-3.990297199176283
36,3.065926055459656,-3.99160644296342
37,3.069823918590447,-3.991723678830084
38,3.035541987237329,-3.976065567819208
39,3.020723071455785,-3.970427957418173
40,3.022260282898931,-3.963793672289524
41,3.03042038008102,-3.967068433615499
42,3.03025619684767,-3.964875608099929
43,3.036234247124443,-3.971711053958386
44,3.0408203696935,-3.963026230732109
45,3.046593040313751,-3.9859343548161
46,3.057281110948103,-3.984732568130339
47,3.059861322280176,-3.982284679705328
48,3.053129264126677,-3.981171895417576
49,3.049305700134342,-3.976040503026676
50,3.059451580467627,-3.976039504326184
51,3.051253318350987,-3.963909938002134
52,3.061017766348844,-3.968820250810797
53,3.063307280096081,-3.964922580151102
54,3.086563540351431,-3.999728636464259
55,3.076900202571591,-3.989017775537713
56,3.095627848777676,-3.99592074199116
57,3.095430673750137,-3.993883167031585
58,3.09639707003747,-3.994023400971276
59,3.103629401448246,-3.994938028303499
60,3.075951278794219,-3.97558119949396
61,3.077950068788536,-3.976309800547628
62,3.087145866943602,-3.979192525501404
63,3.088459675365489,-3.984811206851702
64,3.093380184519577,-3.98321782349361
65,3.097611008924513,-3.980837444023468
66,3.098720689275614,-3.972017411593829
67,3.101323138075978,-3.96867930329018
68,3.109190948882507,-3.986140851185207
69,3.108897020539981,-3.975420310938599
70,3.112055701327283,-3.979824322284313
71,3.109332591960139,-3.974845629616897
72,3.127344887991577,-3.974827994816288
73,3.01921480752414,-3.955093996781899
74,3.030643771866081,-3.958249679932245
75,3.023468985652925,-3.947635633093666
76,3.03790326505948,-3.960689137397827
77,3.042695795241233,-3.959756693610187
78,3.028966993222751,-3.9425335732459
79,3.027362659484774,-3.93710847532465
80,3.02602138231149,-3.935754688669048
81,3.036175678497565,-3.94684086891885
82,3.037220584047714,-3.937649850631239
83,3.038109046521755,-3.937958296614056
84,3.042683552012978,-3.939685458575625
85,3.050801390696898,-3.946869301255345
86,3.066784142454953,-3.952754116376727
87,3.060822786613072,-3.949920701482545
88,3.056514151392506,-3.941414562169498
89,3.055206867780177,-3.937068542555954
90,3.071993803828213,-3.945840732986888
91,3.072885199824582,-3.946716398537022
92,3.074406220676854,-3.946212174571801
93,3.068081578211491,-3.936028403002468
94,3.029878757973746,-3.929205325530983
95,3.031599527088597,-3.917351455786775
96,3.027392633297203,-3.90729019544065
97,3.031517454368882,-3.906735608581051
98,3.041761543533126,-3.918177668138124
99,3.037730892551603,-3.90981522024688
100,3.037472135303347,-3.908373237098901
101,3.044818859975551,-3.911581546550122
102,3.051212827358625,-3.931663242178783
103,3.046601572669234,-3.924605536169816
104,3.065779354309585,-3.929709814324798
105,3.073276375842146,-3.928995590816341
106,3.073578227786339,-3.92672977071379
107,3.053837249319552,-3.916893866342987
108,3.057722714619802,-3.910873895305857
109,3.066018205201567,-3.905255303514238
110,3.071842335511773,-3.911114097595768
111,3.075852406342688,-3.959641648536867
112,3.078814237027662,-3.949358000003966
113,3.080408791586825,-3.947995433304675
114,3.090492418981297,-3.958999833848824
115,3.087146693964264,-3.938085406285659
116,3.098415918860566,-3.946461055423794
117,3.105433307908237,-3.955127074097547
118,3.127015591634582,-3.959163143171887
119,3.128292179691598,-3.954629447977773
120,3.119007882409328,-3.947480031967078
121,3.12446557448972,-3.950325281865548
122,3.111278766767199,-3.943375804048772
123,3.115497992654729,-3.940574279148115
124,3.113247545057455,-3.936239894745199
125,3.121960142623359,-3.942452670088104
126,3.124689460583869,-3.94390487282913
127,3.125333743965907,-3.940649128222625
128,3.126764645969786,-3.941759081388197
129,3.124501315079472,-3.93768138708182
130,3.125830196715682,-3.936902793214391
131,3.128874201469233,-3.935787820235325
132,3.078694239505274,-3.925512735185901
133,3.083938974805528,-3.920158840498761
134,3.097885719142856,-3.926015845401335
135,3.077721856607941,-3.90566397700451
136,3.095496376424395,-3.917422662024272
137,3.123802311509579,-3.922942520397775
138,3.106136360743595,-3.915752581533595
139,3.126390462591306,-3.908444003217362
140,3.010775306376209,-3.88190906111667
141,3.000785026949526,-3.874217514246189
142,3.00422158682787,-3.870419688343517
143,3.003278510596425,-3.868686396613314
144,3.007818511529943,-3.874629926349653
145,3.005199996623722,-3.864406900532925
146,3.007258055607009,-3.863957050904662
147,3.015732542979835,-3.864568070927828
148,3.011717823795647,-3.862089245813167
149,3.015179334614746,-3.857049953818801
150,3.004050363397075,-3.843723076831587
151,3.00599815930007,-3.839684685057089
152,3.00905072878071,-3.836133088087184
153,3.013736804735879,-3.839855190732716
154,3.013015509030005,-3.822733758801338
155,3.016174361549556,-3.824258240524102
156,3.004420129530969,-3.816133147607472
157,3.006347444447339,-3.816534884241497
158,3.018309675824687,-3.818542196760981
159,3.009371627519323,-3.81201219185951
160,3.012859918330338,-3.808908297813137
161,3.00897155821471,-3.795088443244633
162,3.020913305154713,-3.888979038764486
163,3.018784439544405,-3.881325542102945
164,3.032759118140514,-3.88704261928206
165,3.046236502240002,-3.890940325210664
166,3.043611247261118,-3.883203911457493
167,3.043224436229461,-3.881242919070335
168,3.048263403473665,-3.898382144915601
169,3.052336016046135,-3.88624970898668
170,3.06189949670076,-3.887506283653896
171,3.061861576818997,-3.885068573399646
172,3.02331735443449,-3.86386293737546
173,3.023275414273505,-3.863729323241518
174,3.043746481674249,-3.876955964154456
175,3.037586544899295,-3.863516511146799
176,3.023669370919984,-3.862477009154616
177,3.026953312861639,-3.858086126404769
178,3.039274627207111,-3.852723500791603
179,3.053853942566601,-3.864010588454474
180,3.065915327069058,-3.874856636570091
181,3.0675655742371,-3.865769912400023
182,3.052810626385932,-3.859214463918114
183,3.050608947607366,-3.857848910779673
184,3.057548912438548,-3.863207081609002
185,3.05447885101227,-3.849943900139855
186,3.071958557559425,-3.862038484048625
187,3.083209647413464,-3.89798924349627
188,3.08792415962624,-3.897812387540304
189,3.089921823644541,-3.899291911027607
190,3.096335107570642,-3.888095829293383
191,3.121011320899938,-3.903725862779028
192,3.117651988012012,-3.900407160743491
193,3.123572153219367,-3.891877567829307
194,3.126374336390369,-3.884934325666892
195,3.091425169110132,-3.869538827048821
196,3.097623806915871,-3.865062981198224
197,3.098461621965193,-3.863800613033077
198,3.086406130928212,-3.862513230383363
199,3.083505062076146,-3.859454936588622
200,3.089092461913215,-3.853953955504862
201,3.095234056668953,-3.855826310197609
202,3.105556087590533,-3.86589261976836
203,3.118528791389603,-3.875757768029291
204,3.11809470524301,-3.868062619619308
205,3.123158536647354,-3.864405536057176
206,3.127872239813374,-3.868012114865519
207,3.113199144419732,-3.862961382677239
208,3.1147465962031,-3.8556759508344
209,3.128489412615662,-3.858683201178697
210,3.027100563815481,-3.839257320155923
211,3.040502855051668,-3.845217000846963
212,3.042767875967202,-3.842088883882822
213,3.044021217974293,-3.836685515260122
214,3.021991840853801,-3.828223606992978
215,3.05676750979593,-3.838825961641471
216,3.051174879845461,-3.830090297626609
217,3.060186832027481,-3.828113130502281
218,3.057444355374721,-3.825804858235601
219,3.068333600650697,-3.830632587172365
220,3.069891149505477,-3.822859077377604
221,3.02128965869264,-3.819277794219346
222,3.022250560293385,-3.819082041646247
223,3.025518008309005,-3.818520284289565
224,3.019021556326385,-3.81305916253886
225,3.025428400745423,-3.814680769996023
226,3.032857072781316,-3.810352505886196
227,3.044365813449552,-3.804192149035131
228,3.053081750388694,-3.819297799393663
