,ra,dec
0,3.021864866507708,-3.823690825031604
1,3.076471964041541,-3.798098639745294
2,3.001547624683333,-3.993402692158684
3,3.001233088704711,-3.979233231654557
4,3.008130459565386,-3.983090862793901
5,3.017089248207711,-3.962933006958704
6,3.018103284300518,-3.959375286864586
7,3.0136023913506,-3.956012504947714
8,3.010104173452931,-3.947685179718817
9,3.001846710289791,-3.945213974461375
10,3.011060944958588,-3.938485214078227
11,3.005414702126036,-3.929551541028549
12,3.014888859834718,-3.923311048392349
13,3.006340712114033,-3.91129274236424
14,3.038219458970376,-3.994548653434896
15,3.036322832104357,-3.989213061690564
16,3.044858157488437,-3.991254926814023
17,3.047046535722929,-3.999861370185194
18,3.050868744299238,-3.997495846955128
19,3.047839400354161,-3.991547100181569
20,3.057661825124054,-3.990401964087353
21,3.057801775442257,-3.98852718436176
22,3.062773277724646,-3.990297199176283
23,3.065926055459656,-3.99160644296342
24,3.069823918590447,-3.991723678830084
25,3.020723071455785,-3.970427957418173
26,3.022260282898931,-3.963793672289524
27,3.03025619684767,-3.964875608099929
28,3.036234247124443,-3.971711053958386
29,3.0408203696935,-3.963026230732109
30,3.046593040313751,-3.9859343548161
31,3.057281110948103,-3.984732568130339
32,3.059861322280176,-3.982284679705328
33,3.059451580467627,-3.976039504326184
34,3.051253318350987,-3.963909938002134
35,3.061017766348844,-3.968820250810797
36,3.063307280096081,-3.964922580151102
37,3.086563540351431,-3.999728636464259
38,3.095627848777676,-3.99592074199116
39,3.095430673750137,-3.993883167031585
40,3.09639707003747,-3.994023400971276
41,3.103629401448246,-3.994938028303499
42,3.075951278794219,-3.97558119949396
43,3.087145866943602,-3.979192525501404
44,3.093380184519577,-3.98321782349361
45,3.097611008924513,-3.980837444023468
46,3.098720689275614,-3.972017411593829
47,3.109190948882507,-3.986140851185207
48,3.108897020539981,-3.975420310938599
49,3.112055701327283,-3.979824322284313
50,3.109332591960139,-3.974845629616897
51,3.030643771866081,-3.958249679932245
52,3.023468985652925,-3.947635633093666
53,3.026755310627406,-3.952666146325898
54,3.03790326505948,-3.960689137397827
55,3.028966993222751,-3.9425335732459
56,3.027362659484774,-3.93710847532465
57,3.02602138231149,-3.935754688669048
58,3.036175678497565,-3.94684086891885
59,3.038109046521755,-3.937958296614056
60,3.050801390696898,-3.946869301255345
61,3.066784142454953,-3.952754116376727
62,3.060822786613072,-3.949920701482545
63,3.056514151392506,-3.941414562169498
64,3.055206867780177,-3.937068542555954
65,3.071993803828213,-3.945840732986888
