,ra,dec
0,3.125228850435206,-3.921402715161566
1,3.021864866507708,-3.823690825031604
2,3.076471964041541,-3.798098639745294
3,3.001547624683333,-3.993402692158684
4,3.012262389314373,-3.995672848465352
5,3.001233088704711,-3.979233231654557
6,3.008130459565386,-3.983090862793901
7,3.012325147922989,-3.96999419451744
8,3.018045519380464,-3.969113425184205
9,3.014885703261641,-3.966387813678953
10,3.014020073770075,-3.962226140269501
11,3.017089248207711,-3.962933006958704
12,3.015143481826183,-3.958604717610456
13,3.018103284300518,-3.959375286864586
14,3.0136023913506,-3.956012504947714
15,3.011455036975562,-3.952741537719367
16,3.006003081278666,-3.949966058645364
17,3.010104173452931,-3.947685179718817
18,3.012576444104522,-3.947516342638792
19,3.015313499427008,-3.948441483355384
20,3.002968266419228,-3.945640301382291
21,3.001846710289791,-3.945213974461375
22,3.015758598542746,-3.94186173705733
23,3.011060944958588,-3.938485214078227
24,3.000033991871153,-3.924543604445336
25,3.001805242068316,-3.924688159083651
26,3.005414702126036,-3.929551541028549
27,3.017106970020374,-3.931197116629575
28,3.014888859834718,-3.923311048392349
29,3.000288216031325,-3.911716990117935
30,3.006340712114033,-3.91129274236424
31,3.020309114554744,-3.994277580657953
32,3.018905117653004,-3.989480789577679
33,3.038219458970376,-3.994548653434896
34,3.03832298368934,-3.993976216046047
35,3.036322832104357,-3.989213061690564
36,3.046128983057554,-3.994509488643975
37,3.044858157488437,-3.991254926814023
38,3.047046535722929,-3.999861370185194
39,3.049620619463763,-3.995792502713789
40,3.050868744299238,-3.997495846955128
41,3.047839400354161,-3.991547100181569
42,3.057661825124054,-3.990401964087353
43,3.057801775442257,-3.98852718436176
44,3.071942529623453,-3.995786132888718
45,3.064486548841411,-3.993183796263493
46,3.065926055459656,-3.99160644296342
47,3.069823918590447,-3.991723678830084
48,3.035541987237329,-3.976065567819208
49,3.020723071455785,-3.970427957418173
50,3.022260282898931,-3.963793672289524
51,3.03042038008102,-3.967068433615499
52,3.03025619684767,-3.964875608099929
53,3.036234247124443,-3.971711053958386
54,3.040616751224125,-3.969837248960717
55,3.0408203696935,-3.963026230732109
56,3.048415155952128,-3.986836458739385
57,3.046593040313751,-3.9859343548161
58,3.050200765130189,-3.985413775519506
59,3.057281110948103,-3.984732568130339
60,3.059861322280176,-3.982284679705328
61,3.053129264126677,-3.981171895417576
62,3.049305700134342,-3.976040503026676
63,3.059451580467627,-3.976039504326184
64,3.064663988340298,-3.975796074873563
65,3.066570322832074,-3.975890032072709
66,3.073539699019596,-3.979532443836304
67,3.047685313716593,-3.960987780195333
68,3.051253318350987,-3.963909938002134
69,3.061017766348844,-3.968820250810797
70,3.063307280096081,-3.964922580151102
71,3.086563540351431,-3.999728636464259
72,3.076900202571591,-3.989017775537713
73,3.095627848777676,-3.99592074199116
74,3.094080505262734,-3.991229041965749
75,3.095430673750137,-3.993883167031585
76,3.09639707003747,-3.994023400971276
77,3.104650956439531,-3.999772970413634
78,3.103629401448246,-3.994938028303499
79,3.075951278794219,-3.97558119949396
80,3.077950068788536,-3.976309800547628
81,3.087145866943602,-3.979192525501404
82,3.088459675365489,-3.984811206851702
83,3.093380184519577,-3.98321782349361
84,3.097611008924513,-3.980837444023468
85,3.098720689275614,-3.972017411593829
86,3.101323138075978,-3.96867930329018
87,3.109190948882507,-3.986140851185207
88,3.108897020539981,-3.975420310938599
89,3.112055701327283,-3.979824322284313
90,3.127344887991577,-3.974827994816288
91,3.02056677854001,-3.957451614919782
92,3.01921480752414,-3.955093996781899
93,3.030643771866081,-3.958249679932245
94,3.030300488515322,-3.957627993880481
95,3.023468985652925,-3.947635633093666
96,3.02931988641636,-3.952077119481073
97,3.03790326505948,-3.960689137397827
98,3.042695795241233,-3.959756693610187
99,3.022282319152837,-3.946786230846471
100,3.022910254596348,-3.946413307907254
101,3.018691875168301,-3.942427957834687
102,3.028966993222751,-3.9425335732459
103,3.027362659484774,-3.93710847532465
104,3.02602138231149,-3.935754688669048
105,3.030908788212887,-3.933077694106984
106,3.036175678497565,-3.94684086891885
107,3.037220584047714,-3.937649850631239
108,3.038109046521755,-3.937958296614056
109,3.042683552012978,-3.939685458575625
110,3.041380544547986,-3.936657940068978
111,3.050801390696898,-3.946869301255345
112,3.066784142454953,-3.952754116376727
113,3.060822786613072,-3.949920701482545
114,3.056514151392506,-3.941414562169498
115,3.056074919370978,-3.938635557348883
116,3.055206867780177,-3.937068542555954
117,3.059047854841506,-3.937073901284414
118,3.072885199824582,-3.946716398537022
119,3.074406220676854,-3.946212174571801
120,3.065824208901252,-3.939231793297358
121,3.068081578211491,-3.936028403002468
122,3.029878757973746,-3.929205325530983
123,3.038436358351647,-3.921301952871091
124,3.031599527088597,-3.917351455786775
125,3.027392633297203,-3.90729019544065
126,3.031517454368882,-3.906735608581051
127,3.041761543533126,-3.918177668138124
128,3.037730892551603,-3.90981522024688
129,3.037472135303347,-3.908373237098901
130,3.044818859975551,-3.911581546550122
131,3.044682872093869,-3.906894192885941
132,3.051212827358625,-3.931663242178783
133,3.046601572669234,-3.924605536169816
134,3.065779354309585,-3.929709814324798
135,3.073276375842146,-3.928995590816341
136,3.073578227786339,-3.92672977071379
137,3.053837249319552,-3.916893866342987
138,3.057722714619802,-3.910873895305857
139,3.066018205201567,-3.905255303514238
140,3.071842335511773,-3.911114097595768
141,3.075852406342688,-3.959641648536867
142,3.078581933014397,-3.955161762714226
143,3.077940315490056,-3.94889357598059
144,3.078814237027662,-3.949358000003966
145,3.080408791586825,-3.947995433304675
146,3.084931656129313,-3.948326593160761
147,3.090492418981297,-3.958999833848824
148,3.087146693964264,-3.938085406285659
149,3.098415918860566,-3.946461055423794
150,3.105433307908237,-3.955127074097547
151,3.127015591634582,-3.959163143171887
152,3.128292179691598,-3.954629447977773
153,3.119007882409328,-3.947480031967078
154,3.12446557448972,-3.950325281865548
155,3.111278766767199,-3.943375804048772
156,3.115497992654729,-3.940574279148115
157,3.113247545057455,-3.936239894745199
158,3.116167100990744,-3.933090981565404
159,3.121960142623359,-3.942452670088104
160,3.124689460583869,-3.94390487282913
161,3.125333743965907,-3.940649128222625
162,3.126764645969786,-3.941759081388197
163,3.124501315079472,-3.93768138708182
164,3.125830196715682,-3.936902793214391
165,3.123802425315107,-3.934515268307096
166,3.128874201469233,-3.935787820235325
167,3.078694239505274,-3.925512735185901
168,3.082740424798497,-3.923283254781267
169,3.083938974805528,-3.920158840498761
170,3.097885719142856,-3.926015845401335
171,3.077721856607941,-3.90566397700451
172,3.081184747833943,-3.906485176601241
173,3.095496376424395,-3.917422662024272
174,3.122821251932328,-3.928494611316922
175,3.123802311509579,-3.922942520397775
176,3.106136360743595,-3.915752581533595
177,3.126390462591306,-3.908444003217362
178,3.004351450275023,-3.903770307233757
179,3.00267248723214,-3.893106680878269
180,3.010775306376209,-3.88190906111667
181,3.014836073455654,-3.880894106797154
182,3.004559937515223,-3.876706812805915
183,3.001190507596774,-3.870011079643526
184,3.00422158682787,-3.870419688343517
185,3.003278510596425,-3.868686396613314
186,3.007818511529943,-3.874629926349653
187,3.005199996623722,-3.864406900532925
188,3.007258055607009,-3.863957050904662
189,3.015732542979835,-3.864568070927828
190,3.00244817981687,-3.852440336468583
191,3.011717823795647,-3.862089245813167
192,3.015179334614746,-3.857049953818801
193,3.004050363397075,-3.843723076831587
194,3.009871712036928,-3.847833740711692
195,3.017247828678173,-3.847211309518642
196,3.00599815930007,-3.839684685057089
197,3.011301341013727,-3.840716088111753
198,3.00905072878071,-3.836133088087184
199,3.013736804735879,-3.839855190732716
200,3.001208335520811,-3.829244216088664
201,3.013015509030005,-3.822733758801338
202,3.016174361549556,-3.824258240524102
203,3.004420129530969,-3.816133147607472
204,3.006136694294982,-3.818465482423542
205,3.006347444447339,-3.816534884241497
206,3.018309675824687,-3.818542196760981
207,3.012635381178063,-3.817389826625563
208,3.009371627519323,-3.81201219185951
209,3.012859918330338,-3.808908297813137
210,3.00897155821471,-3.795088443244633
211,3.027848122769024,-3.899097132308647
212,3.020913305154713,-3.888979038764486
213,3.018784439544405,-3.881325542102945
214,3.02732905578489,-3.878739724573111
215,3.032759118140514,-3.88704261928206
216,3.046236502240002,-3.890940325210664
217,3.043611247261118,-3.883203911457493
218,3.043224436229461,-3.881242919070335
219,3.045364789381458,-3.881739066084444
220,3.048263403473665,-3.898382144915601
221,3.048514561619164,-3.899274179105652
222,3.049118012264555,-3.894216727516725
223,3.055059514013225,-3.894911805635222
224,3.052336016046135,-3.88624970898668
225,3.06189949670076,-3.887506283653896
226,3.061861576818997,-3.885068573399646
227,3.02331735443449,-3.86386293737546
228,3.023275414273505,-3.863729323241518
