ra,dec
3.0057638888888887,-4.925486111111111
3.0057638888888887,-4.054652777777778
3.0057638888888887,-4.0431944444444445
3.0057638888888887,-4.031736111111111
3.0057638888888887,-4.020277777777777
3.0057638888888887,-4.008819444444445
3.0172222222222222,-4.0431944444444445
3.0172222222222222,-4.031736111111111
3.0172222222222222,-4.020277777777777
3.0172222222222222,-4.008819444444445
3.0286805555555554,-4.0431944444444445
3.0286805555555554,-4.031736111111111
3.0286805555555554,-4.020277777777777
3.0286805555555554,-4.008819444444445
3.040138888888889,-4.054652777777778
3.040138888888889,-4.0431944444444445
3.040138888888889,-4.031736111111111
3.040138888888889,-4.020277777777777
3.040138888888889,-4.008819444444445
3.051597222222222,-4.066111111111111
3.051597222222222,-4.054652777777778
3.051597222222222,-4.0431944444444445
3.051597222222222,-4.031736111111111
3.051597222222222,-4.020277777777777
3.051597222222222,-4.008819444444445
3.0630555555555556,-4.066111111111111
3.0630555555555556,-4.054652777777778
3.0630555555555556,-4.0431944444444445
3.0630555555555556,-4.031736111111111
3.0630555555555556,-4.020277777777777
3.0630555555555556,-4.008819444444445
3.0745138888888888,-4.066111111111111
3.0745138888888888,-4.054652777777778
3.0745138888888888,-4.0431944444444445
3.0745138888888888,-4.031736111111111
3.0745138888888888,-4.020277777777777
3.0745138888888888,-4.008819444444445
3.0859722222222223,-4.066111111111111
3.0859722222222223,-4.054652777777778
3.0859722222222223,-4.0431944444444445
3.0859722222222223,-4.031736111111111
3.0859722222222223,-4.020277777777777
3.0859722222222223,-4.008819444444445
3.0974305555555555,-4.066111111111111
3.0974305555555555,-4.054652777777778
3.0974305555555555,-4.0431944444444445
3.0974305555555555,-4.031736111111111
3.0974305555555555,-4.020277777777777
3.0974305555555555,-4.008819444444445
3.108888888888889,-4.994236111111111
3.108888888888889,-4.066111111111111
3.108888888888889,-4.054652777777778
3.108888888888889,-4.0431944444444445
3.108888888888889,-4.031736111111111
3.108888888888889,-4.020277777777777
3.108888888888889,-4.008819444444445
3.120347222222222,-4.066111111111111
3.120347222222222,-4.054652777777778
3.120347222222222,-4.0431944444444445
3.120347222222222,-4.031736111111111
3.120347222222222,-4.020277777777777
3.120347222222222,-4.008819444444445
3.1318055555555557,-4.066111111111111
3.1318055555555557,-4.054652777777778
3.1318055555555557,-4.0431944444444445
3.1318055555555557,-4.031736111111111
3.1318055555555557,-4.020277777777777
3.1318055555555557,-4.008819444444445
3.143263888888889,-4.066111111111111
3.143263888888889,-4.054652777777778
3.143263888888889,-4.0431944444444445
3.143263888888889,-4.031736111111111
3.143263888888889,-4.020277777777777
3.143263888888889,-4.008819444444445
3.1547222222222224,-4.066111111111111
3.1547222222222224,-4.054652777777778
3.1547222222222224,-4.0431944444444445
3.1547222222222224,-4.031736111111111
3.1547222222222224,-4.020277777777777
3.1547222222222224,-4.008819444444445
3.1661805555555556,-4.066111111111111
3.1661805555555556,-4.054652777777778
3.1661805555555556,-4.0431944444444445
3.1661805555555556,-4.031736111111111
3.1661805555555556,-4.020277777777777
3.1661805555555556,-4.008819444444445
3.1776388888888887,-4.352569444444445
3.1776388888888887,-4.066111111111111
3.1776388888888887,-4.054652777777778
3.1776388888888887,-4.0431944444444445
3.1776388888888887,-4.031736111111111
3.1776388888888887,-4.020277777777777
3.1776388888888887,-4.008819444444445
3.1890972222222222,-4.066111111111111
3.1890972222222222,-4.054652777777778
3.1890972222222222,-4.0431944444444445
3.1890972222222222,-4.031736111111111
3.1890972222222222,-4.020277777777777
3.1890972222222222,-4.008819444444445
3.2005555555555554,-4.066111111111111
3.2005555555555554,-4.054652777777778
3.2005555555555554,-4.0431944444444445
3.2005555555555554,-4.031736111111111
3.2005555555555554,-4.020277777777777
3.2005555555555554,-4.008819444444445
3.212013888888889,-4.066111111111111
3.212013888888889,-4.054652777777778
3.212013888888889,-4.0431944444444445
3.212013888888889,-4.031736111111111
3.212013888888889,-4.020277777777777
3.212013888888889,-4.008819444444445
3.223472222222222,-4.077569444444444
3.223472222222222,-4.066111111111111
3.223472222222222,-4.054652777777778
3.223472222222222,-4.0431944444444445
3.223472222222222,-4.031736111111111
3.223472222222222,-4.020277777777777
3.223472222222222,-4.008819444444445
3.2349305555555556,-4.066111111111111
3.2349305555555556,-4.054652777777778
3.2349305555555556,-4.0431944444444445
3.2349305555555556,-4.031736111111111
3.2349305555555556,-4.020277777777777
3.2349305555555556,-4.008819444444445
3.2463888888888888,-4.066111111111111
3.2463888888888888,-4.054652777777778
3.2463888888888888,-4.0431944444444445
3.2463888888888888,-4.031736111111111
3.2463888888888888,-4.020277777777777
3.2463888888888888,-4.008819444444445
3.2578472222222223,-4.501527777777778
3.2578472222222223,-4.066111111111111
3.2578472222222223,-4.054652777777778
3.2578472222222223,-4.0431944444444445
3.2578472222222223,-4.031736111111111
3.2578472222222223,-4.020277777777777
3.2578472222222223,-4.008819444444445
3.2693055555555555,-4.604652777777778
3.2693055555555555,-4.066111111111111
3.2693055555555555,-4.054652777777778
3.2693055555555555,-4.0431944444444445
3.2693055555555555,-4.031736111111111
3.2693055555555555,-4.020277777777777
3.2693055555555555,-4.008819444444445
3.280763888888889,-4.066111111111111
3.280763888888889,-4.054652777777778
3.280763888888889,-4.0431944444444445
3.280763888888889,-4.031736111111111
3.280763888888889,-4.020277777777777
3.280763888888889,-4.008819444444445
3.292222222222222,-4.066111111111111
3.292222222222222,-4.054652777777778
3.292222222222222,-4.0431944444444445
3.292222222222222,-4.031736111111111
3.292222222222222,-4.020277777777777
3.292222222222222,-4.008819444444445
3.3036805555555557,-4.066111111111111
3.3036805555555557,-4.054652777777778
3.3036805555555557,-4.0431944444444445
3.3036805555555557,-4.031736111111111
3.3036805555555557,-4.020277777777777
3.3036805555555557,-4.008819444444445
3.315138888888889,-4.077569444444444
3.315138888888889,-4.066111111111111
3.315138888888889,-4.054652777777778
3.315138888888889,-4.0431944444444445
3.315138888888889,-4.031736111111111
3.315138888888889,-4.020277777777777
3.315138888888889,-4.008819444444445
3.3265972222222224,-4.066111111111111
3.3265972222222224,-4.054652777777778
3.3265972222222224,-4.0431944444444445
3.3265972222222224,-4.031736111111111
3.3265972222222224,-4.020277777777777
3.3265972222222224,-4.008819444444445
3.3380555555555556,-4.604652777777778
3.3380555555555556,-4.066111111111111
3.3380555555555556,-4.054652777777778
3.3380555555555556,-4.0431944444444445
3.3380555555555556,-4.031736111111111
3.3380555555555556,-4.020277777777777
3.3380555555555556,-4.008819444444445
3.3495138888888887,-4.066111111111111
3.3495138888888887,-4.054652777777778
3.3495138888888887,-4.0431944444444445
3.3495138888888887,-4.031736111111111
3.3495138888888887,-4.020277777777777
3.3495138888888887,-4.008819444444445
3.3609722222222222,-4.066111111111111
3.3609722222222222,-4.054652777777778
3.3609722222222222,-4.0431944444444445
3.3609722222222222,-4.031736111111111
